hjd mag mag_err
2453824.10067 17.366853608142463 0.0117
2453824.14023 17.399353608142466 0.012
2453824.17887 17.394753608142466 0.013
2453824.20428 17.389353608142464 0.0108
2453825.10259 17.414553608142466 0.0144
2453825.1417 17.423453608142466 0.0139
2453825.18633 17.435253608142467 0.0138
2453825.22864 17.435853608142466 0.0139
2453837.12673 17.413553608142465 0.0158
2453837.17355 17.470953608142466 0.0169
2453837.21444 17.441653608142467 0.0139
2453839.07268 17.406153608142468 0.0167
2453839.11242 17.387553608142465 0.0162
2453839.15224 17.392053608142465 0.0167
2453839.19201 17.412753608142467 0.0159
2453839.23139 17.431953608142464 0.0171
2453843.00451 17.415753608142467 0.0411
2453843.04205 17.385153608142467 0.0344
2453843.07093 17.369753608142467 0.031
2453843.09911 17.456153608142465 0.0284
2453843.12757 17.489753608142465 0.0348
2453845.13797 17.369253608142465 0.0286
2453854.97581 17.615453608142467 0.0628
2453855.01793 17.427653608142464 0.0151
2453855.04287 17.444553608142463 0.017
2453855.06919 17.435853608142466 0.0214
2453855.1194 17.436553608142468 0.0135
2453855.95184 17.435553608142463 0.0234
2453855.97796 17.417653608142466 0.0175
2453856.00396 17.393853608142464 0.0319
2453856.06573 17.440253608142463 0.0266
2453856.09287 17.439253608142465 0.0169
2453856.11981 17.448053608142466 0.0199
2453856.14883 17.420653608142466 0.0139
2453856.17501 17.438253608142467 0.027
2453856.20232 17.442653608142464 0.0214
2453856.23391 17.421353608142468 0.0141
2453856.26013 17.428953608142464 0.0127
2453858.94079 17.472253608142466 0.0245
2453858.97049 17.408553608142466 0.0165
2453858.99663 17.435253608142467 0.0158
2453859.02561 17.446753608142465 0.0254
2453859.05274 17.472053608142467 0.0142
2453859.08161 17.405853608142465 0.0123
2453859.11003 17.423953608142465 0.0108
2453859.13616 17.456653608142467 0.0129
2453859.16227 17.407753608142464 0.0138
2453859.19164 17.421453608142464 0.0122
2453859.22252 17.402653608142465 0.0126
2453859.24874 17.446853608142465 0.0182
2453859.27492 17.449953608142465 0.0219
2453859.9775 17.461353608142467 0.0445
2453860.00654 17.659153608142468 0.0783
2453860.03266 17.515853608142464 0.023
2453860.06322 17.437253608142466 0.0181
2453860.08933 17.453153608142465 0.0191
2453860.1155 17.454153608142466 0.0132
2453860.14404 17.447653608142467 0.0152
2453860.17025 17.422353608142465 0.0123
2453860.19762 17.443853608142465 0.0131
2453860.22614 17.427153608142465 0.0113
2453860.25234 17.405253608142466 0.0112
2453860.93528 17.434853608142465 0.0173
2453860.96392 17.420853608142465 0.0156
2453860.99005 17.416053608142466 0.0143
2453861.01619 17.432553608142463 0.0137
2453861.04233 17.438553608142463 0.0129
2453861.07095 17.432753608142466 0.0123
2453861.0971 17.441953608142466 0.0146
2453861.12608 17.430153608142465 0.0124
2453861.1522 17.430653608142464 0.0137
2453861.18131 17.431753608142465 0.0177
2453861.21081 17.401253608142465 0.016
2453861.23703 17.411753608142465 0.0127
2453861.26318 17.411853608142465 0.0146
2453861.93721 17.521253608142466 0.0212
2453861.96561 17.455153608142467 0.019
2453861.99175 17.463553608142465 0.0183
2453862.01961 17.455053608142464 0.0152
2453862.04897 17.445453608142465 0.0147
2453862.07509 17.443053608142463 0.0125
2453862.10121 17.430153608142465 0.0144
2453862.12733 17.427553608142468 0.0127
2453862.15472 17.453053608142465 0.0121
2453862.181 17.422853608142468 0.0111
2453862.20831 17.447853608142466 0.0122
2453862.23688 17.431053608142463 0.0128
2453862.26306 17.383153608142464 0.0129
2453863.93608 17.458553608142466 0.0266
2453863.96222 17.433953608142467 0.0281
2453863.98835 17.433553608142468 0.0148
2453864.01453 17.403253608142464 0.017
2453864.04067 17.443953608142465 0.019
2453864.06679 17.434453608142466 0.015
2453864.09293 17.457753608142465 0.03
2453864.11909 17.467753608142466 0.0273
2453864.14521 17.419553608142465 0.0269
2453864.17145 17.471353608142465 0.0361
2453864.2035 17.467553608142467 0.0201
2453864.22972 17.470553608142467 0.032
2453864.2559 17.454453608142465 0.0243
2453867.94634 17.506953608142467 0.0319
2453867.97351 17.406253608142464 0.0236
2453868.00132 17.431653608142465 0.0203
2453868.02924 17.463653608142465 0.023
2453868.06368 17.465953608142463 0.0211
2453868.09217 17.396253608142466 0.018
2453868.12842 17.446753608142465 0.0172
2453868.16545 17.408353608142466 0.0172
2453868.20531 17.426653608142466 0.017
2453868.24163 17.428853608142468 0.0202
2453868.27726 17.394853608142466 0.0216
2453872.94904 17.413653608142468 0.033
2453872.98518 17.429353608142463 0.0317
2453873.02095 17.432553608142463 0.0344
2453873.05727 17.487853608142466 0.0539
2453873.09465 17.395253608142465 0.0442
2453873.13033 17.549053608142465 0.0618
2453873.16759 17.439653608142464 0.0222
2453873.20608 17.505253608142468 0.0389
2453873.2445 17.479453608142464 0.0538
2453873.28012 17.466653608142465 0.0606
2453873.92442 17.429153608142464 0.025
2453873.96284 17.544553608142465 0.0372
2453873.99934 17.439553608142468 0.0189
2453874.03518 17.439753608142468 0.0209
2453874.07103 17.432653608142466 0.0164
2453874.10971 17.427853608142463 0.0155
2453874.14576 17.423353608142463 0.0151
2453874.18626 17.448453608142465 0.0225
2453874.2228 17.429553608142463 0.0202
2453874.26322 17.437453608142466 0.0219
2453874.92983 17.416853608142468 0.0199
2453874.9658 17.424153608142465 0.0193
2453875.0019 17.403253608142464 0.0129
2453875.03828 17.428653608142465 0.0145
2453875.07485 17.526153608142465 0.027
2453875.11151 17.432153608142464 0.0157
2453875.14818 17.449353608142466 0.0257
2453875.18885 17.439653608142464 0.0273
2453875.22539 17.404753608142464 0.0194
2453875.26321 17.408053608142467 0.0194
2453879.97034 17.468953608142463 0.0163
2453880.00618 17.432653608142466 0.0134
2453880.04236 17.436953608142467 0.0126
2453880.07844 17.427153608142465 0.0105
2453880.11814 17.416353608142465 0.0136
2453880.15542 17.407453608142465 0.0117
2453880.19451 17.414953608142465 0.0159
2453880.23106 17.408453608142466 0.015
2453880.27244 17.390153608142466 0.0127
2453881.05141 17.596253608142465 0.0301
2453881.09214 17.625053608142466 0.0655
2453883.01704 17.441453608142467 0.0329
2453883.05453 17.461953608142466 0.0158
2453883.09182 17.426553608142466 0.0123
2453883.12766 17.445153608142466 0.0139
2453883.17026 17.451653608142465 0.0153
2453883.20964 17.420253608142467 0.0136
2453883.25445 17.413953608142464 0.0162
2453883.29205 17.452053608142464 0.0225
2453885.17705 17.436453608142465 0.0125
2453885.93924 17.416553608142465 0.0152
2453885.97594 17.421653608142464 0.0152
2453886.01161 17.430653608142464 0.0161
2453886.04722 17.449553608142466 0.0145
2453886.08284 17.478953608142465 0.0322
2453886.12304 17.579553608142465 0.1108
2453887.17963 17.434653608142465 0.0122
2453887.21561 17.426653608142466 0.0296
2453887.25146 17.427153608142465 0.015
2453887.28734 17.452953608142465 0.0272
2453887.90371 17.464853608142466 0.0169
2453887.94042 17.413453608142465 0.0138
2453887.97956 17.402653608142465 0.0113
2453888.0159 17.400653608142466 0.0116
2453888.05311 17.420953608142465 0.0139
2453888.09006 17.415553608142467 0.014
2453888.1288 17.423753608142466 0.0113
2453888.16769 17.399753608142465 0.0154
