hjd mag mag_err
2455260.86564 16.156 0.006
2455261.80049 16.165 0.006
2455262.83892 16.155 0.012
2455264.82358 16.153 0.006
2455264.87667 16.154 0.007
2455264.89396 16.151 0.006
2455265.79959 16.151 0.006
2455266.78766 16.154 0.006
2455267.82947 16.143 0.006
2455268.80072 16.151 0.006
2455269.7956 16.149 0.006
2455270.83998 16.154 0.006
2455271.79506 16.145 0.006
2455272.80188 16.149 0.006
2455273.85651 16.145 0.006
2455274.80524 16.145 0.006
2455275.79097 16.157 0.006
2455276.82588 16.152 0.006
2455277.79203 16.145 0.006
2455278.80206 16.152 0.006
2455279.80331 16.152 0.006
2455280.85489 16.153 0.006
2455281.78982 16.157 0.006
2455282.77033 16.145 0.006
2455282.91517 16.159 0.006
2455283.77146 16.157 0.007
2455284.77349 16.153 0.007
2455285.76916 16.161 0.007
2455285.89857 16.146 0.007
2455286.76036 16.156 0.007
2455287.82998 16.158 0.006
2455288.76334 16.153 0.006
2455292.8335 16.155 0.008
2455293.84143 16.155 0.006
2455294.74768 16.155 0.006
2455294.78506 16.146 0.005
2455294.82228 16.149 0.005
2455294.85235 16.145 0.005
2455294.89264 16.146 0.005
2455295.74866 16.156 0.006
2455295.78703 16.156 0.006
2455295.82547 16.15 0.006
2455295.8634 16.146 0.005
2455295.903 16.152 0.005
2455296.79292 16.164 0.005
2455296.82737 16.146 0.005
2455296.86478 16.153 0.005
2455296.9049 16.149 0.006
2455297.78604 16.161 0.006
2455297.82407 16.155 0.005
2455297.86187 16.153 0.005
2455297.90097 16.152 0.005
2455298.78694 16.147 0.006
2455298.82479 16.143 0.006
2455298.86272 16.146 0.006
2455298.90222 16.148 0.006
2455299.73375 16.133 0.003
2455299.77139 16.145 0.005
2455299.80913 16.149 0.003
2455299.84689 16.156 0.003
2455299.88578 16.142 0.005
2455300.84253 16.158 0.006
2455300.88222 16.148 0.006
2455300.92108 16.15 0.006
2455301.776 16.157 0.006
2455301.81335 16.151 0.005
2455301.85087 16.146 0.006
2455301.89114 16.155 0.006
2455303.89874 16.147 0.006
2455304.73639 16.141 0.007
2455304.77572 16.154 0.006
2455306.77322 16.143 0.006
2455306.83635 16.147 0.005
2455306.87551 16.155 0.006
2455306.91443 16.141 0.006
2455307.69888 16.149 0.006
2455307.76241 16.15 0.006
2455307.82381 16.152 0.006
2455307.86315 16.151 0.006
2455307.90282 16.151 0.006
2455308.69017 16.16 0.006
2455308.75201 16.143 0.006
2455308.81353 16.15 0.006
2455308.85145 16.143 0.006
2455309.68791 16.151 0.007
2455309.75295 16.148 0.006
2455309.82354 16.154 0.006
2455309.86765 16.146 0.006
2455309.90599 16.153 0.006
2455310.66762 16.155 0.007
2455310.73359 16.156 0.007
2455310.78995 16.159 0.006
2455310.86538 16.152 0.005
2455310.90337 16.155 0.005
2455311.78879 16.159 0.007
2455311.84773 16.151 0.006
2455311.89605 16.144 0.006
2455312.71037 16.154 0.007
2455312.75975 16.156 0.007
2455312.80231 16.15 0.006
2455312.84208 16.15 0.007
2455312.88692 16.144 0.006
2455312.92404 16.142 0.006
2455313.79615 16.152 0.007
2455313.83512 16.163 0.007
2455313.87536 16.157 0.007
2455313.9132 16.147 0.007
2455314.68389 16.141 0.007
2455314.72634 16.157 0.008
2455314.766 16.149 0.007
2455314.80353 16.153 0.007
2455314.86136 16.153 0.007
2455314.89853 16.161 0.006
2455315.65257 16.151 0.01
2455315.70717 16.15 0.009
2455315.74932 16.149 0.007
2455315.78684 16.156 0.006
2455315.82474 16.153 0.007
2455315.86492 16.149 0.007
2455315.90682 16.149 0.008
2455316.6978 16.163 0.013
2455316.74286 16.142 0.008
2455316.78266 16.149 0.008
2455316.82188 16.144 0.008
2455316.87707 16.158 0.009
2455319.92417 16.155 0.011
2455320.66034 16.139 0.006
2455320.69932 16.143 0.006
2455320.7433 16.145 0.006
2455320.78076 16.155 0.006
2455320.82077 16.151 0.007
2455320.86243 16.134 0.006
2455320.89989 16.142 0.006
2455321.65971 16.153 0.008
2455321.72765 16.148 0.006
2455321.7662 16.157 0.007
2455321.80542 16.166 0.006
2455321.84701 16.149 0.007
2455321.8845 16.151 0.006
2455321.92175 16.154 0.006
2455322.70807 16.152 0.006
2455322.85562 16.147 0.006
2455322.88083 16.147 0.006
2455322.92124 16.148 0.006
2455323.67855 16.15 0.007
2455323.74447 16.156 0.007
2455323.78284 16.145 0.006
2455323.82608 16.142 0.006
2455323.86552 16.144 0.006
2455323.90299 16.15 0.006
2455324.65349 16.159 0.007
2455324.71835 16.169 0.007
2455324.75575 16.149 0.006
2455324.79417 16.155 0.007
2455324.83486 16.142 0.006
2455324.87225 16.161 0.006
2455324.9129 16.148 0.006
2455325.64549 16.153 0.006
2455325.69968 16.15 0.006
2455325.73619 16.149 0.006
2455325.77451 16.142 0.006
2455325.81448 16.152 0.006
2455325.86153 16.151 0.006
2455325.90025 16.145 0.006
2455325.94081 16.135 0.011
2455326.67451 16.152 0.006
2455326.73519 16.149 0.006
2455326.7726 16.149 0.006
2455326.81212 16.15 0.006
2455326.85037 16.156 0.006
2455326.88884 16.145 0.006
2455326.92757 16.153 0.006
2455327.68868 16.147 0.006
2455327.75963 16.146 0.006
2455327.7985 16.148 0.006
2455327.83682 16.142 0.007
2455327.87577 16.151 0.006
2455327.91389 16.148 0.006
2455328.61061 16.152 0.006
2455328.68463 16.15 0.006
2455328.75348 16.159 0.004
2455328.79188 16.15 0.006
2455328.8326 16.143 0.006
2455328.87036 16.156 0.006
2455328.90812 16.157 0.005
2455329.70835 16.156 0.006
2455334.6309 16.155 0.006
2455334.69701 16.155 0.006
2455334.77781 16.15 0.005
2455334.83757 16.152 0.006
2455334.87528 16.15 0.006
2455334.9159 16.154 0.007
2455335.72115 16.148 0.005
2455335.76041 16.148 0.005
2455335.80006 16.143 0.006
2455335.83946 16.16 0.006
2455335.87717 16.151 0.006
2455335.91487 16.144 0.006
2455336.7943 16.156 0.006
2455336.85869 16.145 0.006
2455336.92371 16.146 0.006
2455337.77039 16.158 0.006
2455337.81019 16.159 0.006
2455337.84858 16.134 0.006
2455337.88651 16.144 0.006
2455337.92497 16.152 0.007
2455338.76785 16.158 0.006
2455338.80704 16.154 0.007
2455339.64344 16.15 0.007
2455339.68325 16.154 0.007
2455339.74966 16.158 0.006
2455339.8149 16.149 0.006
2455339.88055 16.158 0.008
2455339.92047 16.156 0.008
2455340.62942 16.166 0.009
2455340.6671 16.155 0.007
2455340.75362 16.155 0.007
2455340.81133 16.154 0.008
2455340.84938 16.151 0.008
2455340.88784 16.138 0.007
2455340.92546 16.147 0.007
2455341.59961 16.138 0.007
2455341.67282 16.142 0.006
2455341.74419 16.156 0.006
2455341.81875 16.132 0.006
2455341.85696 16.156 0.006
2455341.89469 16.145 0.006
2455341.93488 16.144 0.006
2455342.60898 16.152 0.008
2455342.64645 16.148 0.007
2455342.68409 16.156 0.007
2455342.72158 16.146 0.007
2455342.7632 16.149 0.006
2455342.80457 16.13 0.007
2455342.84231 16.149 0.007
2455342.88017 16.156 0.008
2455342.91802 16.14 0.008
2455343.58971 16.146 0.009
2455343.62735 16.153 0.008
2455343.66501 16.151 0.007
2455343.70276 16.148 0.006
2455343.74076 16.147 0.007
2455343.78117 16.151 0.007
2455343.82024 16.151 0.007
2455343.85835 16.147 0.007
2455343.87108 16.153 0.007
2455343.90918 16.15 0.007
2455348.60522 16.156 0.007
2455348.67469 16.16 0.007
2455348.7674 16.158 0.006
2455348.80565 16.155 0.006
2455348.84356 16.15 0.006
2455348.88809 16.158 0.007
2455348.92774 16.156 0.008
2455349.60415 16.144 0.008
2455349.68596 16.154 0.006
2455349.78075 16.143 0.006
2455349.81876 16.158 0.006
2455349.85798 16.15 0.007
2455350.65638 16.151 0.008
2455350.69394 16.151 0.008
2455350.73265 16.157 0.007
2455351.59474 16.153 0.006
2455351.66327 16.173 0.006
2455351.74426 16.161 0.006
2455351.83086 16.153 0.007
2455351.89129 16.152 0.007
2455352.60598 16.149 0.008
2455352.67483 16.152 0.006
2455352.76047 16.162 0.006
2455352.84354 16.146 0.006
2455352.89705 16.151 0.006
2455353.56592 16.151 0.006
2455353.64897 16.158 0.006
2455353.72722 16.154 0.006
2455353.78244 16.157 0.006
2455353.82015 16.155 0.006
2455353.86492 16.155 0.006
2455354.57824 16.156 0.007
2455354.67229 16.151 0.006
2455354.76952 16.154 0.006
2455354.8414 16.149 0.006
2455354.88158 16.152 0.007
2455354.92007 16.153 0.007
2455355.6135 16.159 0.006
2455355.69789 16.159 0.006
2455355.78489 16.149 0.006
2455355.82546 16.143 0.006
2455355.874 16.149 0.007
2455357.61415 16.152 0.007
2455357.69607 16.164 0.007
2455357.78636 16.152 0.006
2455357.88344 16.152 0.007
2455358.66587 16.159 0.006
2455358.75916 16.153 0.006
2455359.59299 16.146 0.007
2455359.63412 16.165 0.006
2455359.68798 16.141 0.006
2455359.73729 16.16 0.006
2455359.78597 16.154 0.006
2455359.83003 16.155 0.006
2455359.86978 16.159 0.007
2455361.63584 16.164 0.007
2455361.68185 16.165 0.007
2455362.59648 16.155 0.007
2455362.68212 16.151 0.006
2455362.77739 16.151 0.006
2455362.88189 16.156 0.008
2455364.52453 16.144 0.007
2455364.56949 16.153 0.006
2455364.65403 16.162 0.006
2455364.74941 16.156 0.007
2455364.79376 16.154 0.007
2455364.83314 16.155 0.007
2455364.87313 16.144 0.007
2455365.54238 16.143 0.008
2455365.58682 16.146 0.006
2455365.67717 16.172 0.006
2455365.76985 16.151 0.006
2455365.8413 16.15 0.007
2455365.87991 16.147 0.007
2455368.61635 16.153 0.007
2455368.79446 16.152 0.006
2455369.74189 16.152 0.007
2455369.7867 16.157 0.008
2455369.82596 16.151 0.006
2455376.63221 16.15 0.007
2455376.67233 16.143 0.007
2455376.71208 16.16 0.007
2455376.75034 16.151 0.007
2455376.78859 16.145 0.006
2455376.8268 16.142 0.007
2455376.86478 16.162 0.008
2455377.52078 16.144 0.007
2455377.57531 16.148 0.006
2455377.60412 16.159 0.007
2455377.65052 16.15 0.006
2455377.67144 16.148 0.006
2455377.71614 16.156 0.006
2455377.80195 16.155 0.006
2455377.84013 16.16 0.006
2455378.49444 16.152 0.006
2455378.57704 16.153 0.006
2455378.66361 16.148 0.006
2455378.7356 16.149 0.005
2455378.77365 16.155 0.005
2455378.81214 16.154 0.006
2455378.85206 16.146 0.006
2455379.49096 16.147 0.006
2455379.5289 16.135 0.006
2455379.6136 16.145 0.006
2455379.70054 16.142 0.006
2455379.75697 16.152 0.006
2455379.79459 16.146 0.006
2455379.83239 16.146 0.007
2455379.87345 16.152 0.008
2455380.5024 16.158 0.006
2455380.54027 16.146 0.006
2455380.59599 16.149 0.005
2455380.68283 16.146 0.005
2455380.73613 16.152 0.006
2455380.77413 16.147 0.006
2455380.81223 16.159 0.007
2455380.85026 16.153 0.009
2455381.54976 16.161 0.007
2455381.58725 16.145 0.008
2455381.64603 16.143 0.008
2455381.68726 16.143 0.006
2455381.72526 16.141 0.007
2455381.76353 16.142 0.007
2455381.81032 16.146 0.008
2455381.84847 16.151 0.008
2455382.53849 16.154 0.008
2455382.58289 16.152 0.008
2455382.6258 16.162 0.007
2455382.66713 16.148 0.007
2455382.70711 16.155 0.006
2455382.74514 16.148 0.007
2455382.78991 16.149 0.007
2455382.83369 16.142 0.008
2455384.77498 16.154 0.007
2455384.8131 16.142 0.008
2455385.48445 16.148 0.006
2455385.56626 16.144 0.005
2455385.82299 16.153 0.005
2455386.4698 16.147 0.006
2455386.49966 16.149 0.007
2455386.58178 16.137 0.007
2455386.66583 16.15 0.007
2455386.69182 16.148 0.005
2455386.75617 16.149 0.005
2455386.79561 16.165 0.006
2455386.83752 16.144 0.006
2455387.54071 16.149 0.005
2455387.70007 16.146 0.005
2455387.73849 16.145 0.005
2455387.77935 16.155 0.006
2455387.82271 16.154 0.006
2455388.48027 16.146 0.007
2455388.51817 16.161 0.006
2455388.60536 16.147 0.005
2455388.71269 16.151 0.006
2455388.77713 16.152 0.006
2455388.82028 16.153 0.006
2455389.46888 16.154 0.008
2455389.50776 16.153 0.006
2455389.54625 16.148 0.006
2455389.65357 16.147 0.006
2455389.75873 16.154 0.007
2455389.79798 16.148 0.007
2455389.83756 16.14 0.006
2455390.54103 16.155 0.007
2455390.58674 16.158 0.007
2455390.67245 16.155 0.007
2455390.72214 16.15 0.006
2455390.76042 16.147 0.005
2455390.79822 16.134 0.006
2455391.47317 16.147 0.008
2455391.53228 16.146 0.006
2455391.56961 16.142 0.008
2455391.65315 16.146 0.006
2455391.76026 16.142 0.006
2455391.82192 16.165 0.007
2455392.46931 16.148 0.007
2455392.50714 16.149 0.006
2455392.54614 16.152 0.006
2455392.63056 16.155 0.006
2455392.73967 16.146 0.006
2455392.79939 16.153 0.006
2455392.83693 16.138 0.008
2455393.65399 16.156 0.007
2455393.69241 16.143 0.006
2455393.73035 16.142 0.007
2455393.77586 16.15 0.007
2455393.81374 16.148 0.007
2455395.81798 16.154 0.007
2455396.53765 16.133 0.008
2455396.61285 16.15 0.006
2455396.67515 16.142 0.006
2455396.70973 16.16 0.006
2455396.78232 16.145 0.006
2455397.58751 16.15 0.007
2455397.63734 16.144 0.008
2455397.67555 16.155 0.007
2455397.717 16.161 0.008
2455402.65216 16.151 0.008
2455402.68203 16.169 0.012
2455403.49505 16.145 0.006
2455403.53222 16.147 0.006
2455403.56974 16.155 0.006
2455403.61022 16.16 0.006
2455403.64957 16.147 0.006
2455403.68764 16.15 0.006
2455403.7286 16.154 0.006
2455403.76639 16.157 0.008
2455404.47031 16.136 0.007
2455404.50823 16.148 0.006
2455404.54601 16.148 0.006
2455404.58383 16.152 0.007
2455404.62701 16.159 0.006
2455404.66644 16.152 0.006
2455404.70536 16.157 0.006
2455404.74487 16.151 0.007
2455404.78865 16.131 0.007
2455405.64334 16.151 0.007
